Year,Police_Strength,Fiscal_Budget_Proxy,Prolonged_Trials,Juveniles_Arrested,Juveniles_Low_Income,Repeat_Offenders,Total_IPC_Crimes,Crimes_Against_Women,Property_Stolen,State
2012,1824.0,87.0,0.0,0.0,0.0,0.0,120.0,0.0,14.0,LAKSHADWEEP
2013,1824.0,87.0,0.0,0.0,0.0,0.0,80.0,4.0,16.0,LAKSHADWEEP
2014,1824.0,87.0,0.0,0.0,0.0,0.0,162.0,2.0,30.0,LAKSHADWEEP
2001,396176.0,15698.0,6830.0,7328.0,14656.0,23071.0,363482.0,5702.0,40526.0,MADHYA PRADESH
2002,273960.0,9276.0,6830.0,8536.0,17072.0,27851.0,383598.0,5782.0,41518.0,MADHYA PRADESH
2003,263862.0,8683.0,6830.0,7672.0,15344.0,18310.0,382156.0,5476.0,40844.0,MADHYA PRADESH
2004,300176.0,9434.0,6830.0,7433.0,14866.0,30344.0,393734.0,5750.0,45172.0,MADHYA PRADESH
2005,304648.0,9513.0,7346.0,6378.0,12756.0,25637.0,378344.0,5842.0,41370.0,MADHYA PRADESH
2006,313756.0,9955.0,3860.0,6814.0,13628.0,40126.0,389422.0,5800.0,43466.0,MADHYA PRADESH
2007,310704.0,10016.0,4292.0,7350.0,14700.0,43767.0,404772.0,6020.0,44792.0,MADHYA PRADESH
2008,314892.0,10015.0,5888.0,7108.0,14216.0,39703.0,413112.0,5874.0,49166.0,MADHYA PRADESH
2009,314932.0,10015.0,5004.0,6186.0,12372.0,40276.0,415524.0,5996.0,46520.0,MADHYA PRADESH
2010,320310.0,12049.0,8754.0,6449.0,12898.0,37544.0,428538.0,6270.0,43154.0,MADHYA PRADESH
2011,320310.0,12049.0,8754.0,6449.0,12898.0,37544.0,434188.0,6812.0,44828.0,MADHYA PRADESH
2012,320310.0,12049.0,8754.0,6449.0,12898.0,37544.0,440670.0,6850.0,46364.0,MADHYA PRADESH
2013,320310.0,12049.0,8754.0,6449.0,12898.0,37544.0,454906.0,8670.0,50090.0,MADHYA PRADESH
2014,320310.0,12049.0,8754.0,6449.0,12898.0,37544.0,544846.0,10152.0,58488.0,MADHYA PRADESH
2001,570676.0,25917.0,9748.0,4990.0,9980.0,6117.0,342466.0,2604.0,79732.0,MAHARASHTRA
2002,611040.0,25939.0,9748.0,5379.0,10758.0,4322.0,330924.0,2704.0,75212.0,MAHARASHTRA
2003,597250.0,25939.0,9748.0,5070.0,10140.0,2474.0,328612.0,2536.0,74196.0,MAHARASHTRA
2004,597700.0,26143.0,9748.0,5496.0,10992.0,4598.0,352604.0,2776.0,87904.0,MAHARASHTRA
2005,597700.0,26143.0,9836.0,6303.0,12606.0,6018.0,374054.0,3090.0,93702.0,MAHARASHTRA
2006,645604.0,27651.0,7356.0,6658.0,13316.0,9592.0,383576.0,3000.0,92946.0,MAHARASHTRA
2007,671688.0,31334.0,8260.0,6836.0,13672.0,6142.0,391414.0,2902.0,95362.0,MAHARASHTRA
2008,714670.0,31932.0,9948.0,7019.0,14038.0,5622.0,412486.0,3116.0,105720.0,MAHARASHTRA
2009,789582.0,33134.0,9866.0,6972.0,13944.0,7576.0,399196.0,2966.0,101860.0,MAHARASHTRA
2010,780118.0,34755.0,14198.0,6388.0,12776.0,3139.0,416336.0,3198.0,105130.0,MAHARASHTRA
2011,780118.0,34755.0,14198.0,6388.0,12776.0,3139.0,409804.0,3402.0,106898.0,MAHARASHTRA
2012,780118.0,34755.0,14198.0,6388.0,12776.0,3139.0,405400.0,3678.0,94952.0,MAHARASHTRA
2013,780118.0,34755.0,14198.0,6388.0,12776.0,3139.0,468770.0,6126.0,105340.0,MAHARASHTRA
2014,780118.0,34755.0,14198.0,6388.0,12776.0,3139.0,499668.0,6876.0,112566.0,MAHARASHTRA
2001,59706.0,1544.0,36.0,0.0,0.0,0.0,4978.0,40.0,434.0,MANIPUR
2002,58806.0,1544.0,36.0,0.0,0.0,0.0,5168.0,28.0,510.0,MANIPUR
2003,59172.0,1681.0,36.0,0.0,0.0,0.0,5074.0,36.0,504.0,MANIPUR
2004,57922.0,1679.0,36.0,0.0,0.0,78.0,5070.0,62.0,488.0,MANIPUR
2005,62438.0,1770.0,72.0,0.0,0.0,41.0,5826.0,50.0,486.0,MANIPUR
2006,64682.0,1781.0,58.0,0.0,0.0,58.0,5768.0,80.0,580.0,MANIPUR
2007,74614.0,2058.0,32.0,0.0,0.0,0.0,6518.0,40.0,908.0,MANIPUR
2008,82378.0,2521.0,54.0,0.0,0.0,0.0,6698.0,76.0,892.0,MANIPUR
2009,102836.0,3317.0,10.0,0.0,0.0,37.0,5704.0,62.0,788.0,MANIPUR
2010,116670.0,3618.0,18.0,0.0,0.0,0.0,5430.0,68.0,834.0,MANIPUR
2011,116670.0,3618.0,18.0,0.0,0.0,0.0,6436.0,106.0,1438.0,MANIPUR
2012,116670.0,3618.0,18.0,0.0,0.0,0.0,7474.0,126.0,1806.0,MANIPUR
2013,116670.0,3618.0,18.0,0.0,0.0,0.0,6356.0,144.0,1708.0,MANIPUR
2014,116670.0,3618.0,18.0,0.0,0.0,0.0,7282.0,150.0,2002.0,MANIPUR
2001,45900.0,1408.0,62.0,66.0,132.0,183.0,3374.0,52.0,542.0,MEGHALAYA
2002,47682.0,1440.0,62.0,68.0,136.0,107.0,3328.0,76.0,784.0,MEGHALAYA
2003,38398.0,1331.0,62.0,35.0,70.0,85.0,3338.0,80.0,720.0,MEGHALAYA
2004,39364.0,1226.0,62.0,55.0,110.0,40.0,3504.0,108.0,836.0,MEGHALAYA
2005,38646.0,1272.0,74.0,107.0,214.0,73.0,3760.0,126.0,952.0,MEGHALAYA
2006,38654.0,1272.0,176.0,58.0,116.0,80.0,3870.0,148.0,940.0,MEGHALAYA
2007,41384.0,1320.0,62.0,106.0,212.0,152.0,4158.0,164.0,1000.0,MEGHALAYA
2008,43888.0,1344.0,40.0,139.0,278.0,50.0,4636.0,176.0,1338.0,MEGHALAYA
2009,43474.0,1344.0,78.0,88.0,176.0,44.0,4896.0,224.0,1090.0,MEGHALAYA
2010,43736.0,1292.0,12.0,118.0,236.0,150.0,5010.0,298.0,1328.0,MEGHALAYA
2011,43736.0,1292.0,12.0,118.0,236.0,150.0,5510.0,260.0,1392.0,MEGHALAYA
2012,43736.0,1292.0,12.0,118.0,236.0,150.0,5114.0,328.0,1086.0,MEGHALAYA
2013,43736.0,1292.0,12.0,118.0,236.0,150.0,6518.0,366.0,1234.0,MEGHALAYA
2014,43736.0,1292.0,12.0,118.0,236.0,150.0,7358.0,236.0,1714.0,MEGHALAYA
2001,28262.0,952.0,24.0,49.0,98.0,341.0,4492.0,104.0,1756.0,MIZORAM
2002,17490.0,652.0,24.0,60.0,120.0,390.0,5640.0,152.0,1998.0,MIZORAM
2003,28916.0,1003.0,24.0,82.0,164.0,503.0,6912.0,108.0,2606.0,MIZORAM
2004,28916.0,1003.0,24.0,818.0,1636.0,240.0,3030.0,40.0,1220.0,MIZORAM
2005,32368.0,1360.0,0.0,413.0,826.0,615.0,4312.0,74.0,1554.0,MIZORAM
2006,32738.0,1420.0,10.0,89.0,178.0,320.0,4146.0,144.0,1516.0,MIZORAM
2007,34210.0,1494.0,0.0,91.0,182.0,815.0,4166.0,166.0,1616.0,MIZORAM
2008,43822.0,1555.0,0.0,70.0,140.0,116.0,3978.0,154.0,1494.0,MIZORAM
2009,48592.0,1639.0,0.0,20.0,40.0,348.0,4094.0,166.0,1522.0,MIZORAM
2010,46100.0,1590.0,6.0,116.0,232.0,284.0,4348.0,184.0,1646.0,MIZORAM
2011,46100.0,1590.0,6.0,116.0,232.0,284.0,3642.0,154.0,1468.0,MIZORAM
2012,46100.0,1590.0,6.0,116.0,232.0,284.0,3532.0,206.0,1210.0,MIZORAM
2013,46100.0,1590.0,6.0,116.0,232.0,284.0,3418.0,178.0,1286.0,MIZORAM
2014,46100.0,1590.0,6.0,116.0,232.0,284.0,4280.0,240.0,1704.0,MIZORAM
2001,49732.0,712.0,6.0,26.0,52.0,88.0,2468.0,34.0,516.0,NAGALAND
2002,51644.0,749.0,6.0,14.0,28.0,122.0,2228.0,34.0,514.0,NAGALAND
2003,47534.0,756.0,6.0,1.0,2.0,92.0,1952.0,28.0,442.0,NAGALAND
2004,47656.0,748.0,6.0,3.0,6.0,60.0,1968.0,36.0,510.0,NAGALAND
2005,48466.0,762.0,0.0,3.0,6.0,70.0,2098.0,34.0,588.0,NAGALAND
2006,48520.0,768.0,0.0,3.0,6.0,52.0,2206.0,46.0,654.0,NAGALAND
2007,42052.0,781.0,0.0,0.0,0.0,54.0,2360.0,26.0,720.0,NAGALAND
2008,42836.0,795.0,0.0,0.0,0.0,142.0,2404.0,38.0,690.0,NAGALAND
2009,41914.0,795.0,118.0,20.0,40.0,142.0,2118.0,44.0,694.0,NAGALAND
2010,41914.0,795.0,8.0,53.0,106.0,68.0,2118.0,32.0,794.0,NAGALAND
2011,41914.0,795.0,8.0,53.0,106.0,68.0,2166.0,46.0,720.0,NAGALAND
2012,41914.0,795.0,8.0,53.0,106.0,68.0,2180.0,42.0,762.0,NAGALAND
2013,41914.0,795.0,8.0,53.0,106.0,68.0,2432.0,62.0,812.0,NAGALAND
2014,41914.0,795.0,8.0,53.0,106.0,68.0,2314.0,60.0,836.0,NAGALAND
2001,147326.0,6464.0,1764.0,212.0,424.0,3493.0,93322.0,1580.0,11244.0,ODISHA
2002,149640.0,6477.0,1764.0,192.0,384.0,2760.0,95456.0,1382.0,10536.0,ODISHA
2003,148426.0,6502.0,1764.0,313.0,626.0,2708.0,94562.0,1450.0,10718.0,ODISHA
2004,149828.0,6634.0,1764.0,359.0,718.0,2657.0,97478.0,1540.0,11934.0,ODISHA
2005,149130.0,6644.0,2012.0,655.0,1310.0,7570.0,103370.0,1598.0,13486.0,ODISHA
2006,178492.0,7302.0,2600.0,627.0,1254.0,13672.0,105584.0,1970.0,13134.0,ODISHA
2007,183282.0,7756.0,1640.0,658.0,1316.0,1003.0,109744.0,1878.0,13660.0,ODISHA
2008,196982.0,10016.0,2252.0,773.0,1546.0,4797.0,113510.0,2226.0,14838.0,ODISHA
2009,207068.0,10111.0,1480.0,483.0,966.0,1306.0,111480.0,2046.0,14272.0,ODISHA
2010,207922.0,10249.0,2492.0,544.0,1088.0,3340.0,112918.0,2050.0,15144.0,ODISHA
2011,207922.0,10249.0,2492.0,544.0,1088.0,3340.0,122554.0,2224.0,17448.0,ODISHA
2012,207922.0,10249.0,2492.0,544.0,1088.0,3340.0,135914.0,2916.0,19260.0,ODISHA
2013,207922.0,10249.0,2492.0,544.0,1088.0,3340.0,143436.0,3664.0,20088.0,ODISHA
2014,207922.0,10249.0,2492.0,544.0,1088.0,3340.0,149138.0,3956.0,18820.0,ODISHA
2001,8174.0,323.0,0.0,3.0,6.0,108.0,8136.0,18.0,1056.0,PUDUCHERRY
2002,9250.0,323.0,0.0,16.0,32.0,76.0,8874.0,12.0,1052.0,PUDUCHERRY
2003,9392.0,354.0,0.0,40.0,80.0,184.0,9034.0,4.0,1134.0,PUDUCHERRY
2004,9572.0,357.0,0.0,55.0,110.0,212.0,9240.0,8.0,1268.0,PUDUCHERRY
2005,9652.0,335.0,2.0,42.0,84.0,16.0,9150.0,12.0,932.0,PUDUCHERRY
2006,9584.0,340.0,0.0,37.0,74.0,13.0,9374.0,18.0,1120.0,PUDUCHERRY
2007,10170.0,340.0,18.0,62.0,124.0,14.0,10108.0,18.0,1574.0,PUDUCHERRY
2008,10076.0,340.0,0.0,55.0,110.0,27.0,9978.0,16.0,1376.0,PUDUCHERRY
2009,9878.0,343.0,10.0,81.0,162.0,11.0,9182.0,2.0,1422.0,PUDUCHERRY
2010,11370.0,429.0,30.0,49.0,98.0,4.0,7870.0,6.0,1068.0,PUDUCHERRY
2011,11370.0,429.0,30.0,49.0,98.0,4.0,8724.0,14.0,1414.0,PUDUCHERRY
2012,11370.0,429.0,30.0,49.0,98.0,4.0,8562.0,26.0,1316.0,PUDUCHERRY
2013,11370.0,429.0,30.0,49.0,98.0,4.0,7512.0,34.0,1188.0,PUDUCHERRY
2014,11370.0,429.0,30.0,49.0,98.0,4.0,7168.0,20.0,848.0,PUDUCHERRY
2001,281760.0,7735.0,58.0,29.0,58.0,3402.0,55548.0,596.0,6046.0,PUNJAB
2002,281760.0,7735.0,58.0,156.0,312.0,5417.0,57588.0,598.0,5926.0,PUNJAB
2003,281760.0,7735.0,58.0,132.0,264.0,5322.0,57512.0,760.0,6396.0,PUNJAB
2004,289980.0,7764.0,58.0,96.0,192.0,4851.0,51260.0,780.0,5174.0,PUNJAB
2005,289980.0,7764.0,80.0,135.0,270.0,3982.0,54272.0,796.0,5848.0,PUNJAB
2006,293768.0,7849.0,158.0,159.0,318.0,6042.0,64136.0,884.0,7892.0,PUNJAB
2007,293768.0,7849.0,156.0,129.0,258.0,4358.0,71586.0,1038.0,10346.0,PUNJAB
2008,284290.0,8000.0,404.0,113.0,226.0,4491.0,70628.0,1034.0,11126.0,PUNJAB
2009,284532.0,8000.0,586.0,233.0,466.0,4297.0,71090.0,1022.0,11248.0,PUNJAB
2010,297538.0,9216.0,624.0,246.0,492.0,4679.0,73296.0,1092.0,10892.0,PUNJAB
2011,297538.0,9216.0,624.0,246.0,492.0,4679.0,69766.0,958.0,9568.0,PUNJAB
2012,297538.0,9216.0,624.0,246.0,492.0,4679.0,71580.0,1360.0,10544.0,PUNJAB
2013,297538.0,9216.0,624.0,246.0,492.0,4679.0,73334.0,1776.0,9770.0,PUNJAB
2014,297538.0,9216.0,624.0,246.0,492.0,4679.0,74324.0,1962.0,10134.0,PUNJAB
2001,270652.0,8880.0,2232.0,3245.0,6490.0,13646.0,310370.0,2098.0,33878.0,RAJASTHAN
2002,268778.0,8890.0,2232.0,1937.0,3874.0,10758.0,302496.0,2102.0,32626.0,RAJASTHAN
2003,273018.0,8916.0,2232.0,1862.0,3724.0,5862.0,291158.0,2100.0,32912.0,RAJASTHAN
2004,267088.0,8920.0,2232.0,1875.0,3750.0,7976.0,309718.0,2076.0,37684.0,RAJASTHAN
2005,272470.0,10663.0,3296.0,1958.0,3916.0,7864.0,281834.0,1986.0,35796.0,RAJASTHAN
2006,280986.0,10831.0,4530.0,2086.0,4172.0,6453.0,283984.0,2170.0,35778.0,RAJASTHAN
2007,281218.0,10776.0,4296.0,2124.0,4248.0,5274.0,297740.0,2476.0,38690.0,RAJASTHAN
2008,312586.0,10898.0,6300.0,2352.0,4704.0,6449.0,302348.0,2710.0,40822.0,RAJASTHAN
2009,313278.0,10757.0,4444.0,2456.0,4912.0,6961.0,333130.0,3038.0,44288.0,RAJASTHAN
2010,315532.0,10944.0,3216.0,2378.0,4756.0,14219.0,325914.0,3142.0,44648.0,RAJASTHAN
2011,315532.0,10944.0,3216.0,2378.0,4756.0,14219.0,331244.0,3600.0,42198.0,RAJASTHAN
2012,315532.0,10944.0,3216.0,2378.0,4756.0,14219.0,341896.0,4098.0,46628.0,RAJASTHAN
2013,315532.0,10944.0,3216.0,2378.0,4756.0,14219.0,392448.0,6570.0,57856.0,RAJASTHAN
2014,315532.0,10944.0,3216.0,2378.0,4756.0,14219.0,420836.0,7518.0,58190.0,RAJASTHAN
2001,16748.0,422.0,0.0,17.0,34.0,39.0,888.0,16.0,148.0,SIKKIM
2002,14368.0,409.0,0.0,2.0,4.0,21.0,970.0,12.0,128.0,SIKKIM
2003,14370.0,409.0,0.0,17.0,34.0,0.0,886.0,20.0,130.0,SIKKIM
2004,14626.0,556.0,0.0,13.0,26.0,63.0,1262.0,6.0,146.0,SIKKIM
2005,15506.0,466.0,0.0,24.0,48.0,0.0,1104.0,36.0,162.0,SIKKIM
2006,15828.0,511.0,0.0,35.0,70.0,0.0,1406.0,40.0,226.0,SIKKIM
2007,13300.0,560.0,0.0,94.0,188.0,0.0,1334.0,48.0,236.0,SIKKIM
2008,14754.0,566.0,0.0,37.0,74.0,13.0,1460.0,40.0,254.0,SIKKIM
2009,15336.0,592.0,0.0,60.0,120.0,7.0,1338.0,36.0,124.0,SIKKIM
2010,19148.0,639.0,0.0,82.0,164.0,90.0,1104.0,36.0,106.0,SIKKIM
2011,19148.0,639.0,0.0,82.0,164.0,90.0,1192.0,32.0,144.0,SIKKIM
2012,19148.0,639.0,0.0,82.0,164.0,90.0,1056.0,68.0,234.0,SIKKIM
2013,19148.0,639.0,0.0,82.0,164.0,90.0,1702.0,86.0,244.0,SIKKIM
2014,19148.0,639.0,0.0,82.0,164.0,90.0,2130.0,94.0,252.0,SIKKIM
2001,385386.0,10370.0,1366.0,4555.0,9110.0,38893.0,309602.0,846.0,33418.0,TAMIL NADU
2002,393654.0,10389.0,1366.0,6082.0,12164.0,27879.0,333884.0,1068.0,37510.0,TAMIL NADU
2003,391308.0,10905.0,1366.0,4895.0,9790.0,29866.0,314372.0,1114.0,36426.0,TAMIL NADU
2004,410734.0,10957.0,1366.0,2373.0,4746.0,23182.0,333212.0,1236.0,35060.0,TAMIL NADU
2005,408646.0,11332.0,2594.0,2148.0,4296.0,24177.0,324720.0,1142.0,31702.0,TAMIL NADU
2006,406486.0,11399.0,1598.0,1974.0,3948.0,19099.0,297944.0,914.0,27302.0,TAMIL NADU
2007,421644.0,11685.0,2646.0,1721.0,3442.0,19471.0,345508.0,1046.0,26434.0,TAMIL NADU
2008,421524.0,11796.0,1760.0,1593.0,3186.0,17445.0,353666.0,1146.0,30038.0,TAMIL NADU
2009,420790.0,12080.0,2226.0,2921.0,5842.0,16317.0,349382.0,1192.0,31424.0,TAMIL NADU
2010,448260.0,13083.0,1708.0,1644.0,3288.0,17802.0,371356.0,1372.0,29166.0,TAMIL NADU
2011,448260.0,13083.0,1708.0,1644.0,3288.0,17802.0,385758.0,1354.0,27848.0,TAMIL NADU
2012,448260.0,13083.0,1708.0,1644.0,3288.0,17802.0,400948.0,1474.0,23992.0,TAMIL NADU
2013,448260.0,13083.0,1708.0,1644.0,3288.0,17802.0,407158.0,1846.0,23900.0,TAMIL NADU
2014,448260.0,13083.0,1708.0,1644.0,3288.0,17802.0,386400.0,910.0,23938.0,TAMIL NADU
2014,0.0,0.0,0.0,0.0,0.0,0.0,213660.0,1958.0,30684.0,TELANGANA
2001,69808.0,2045.0,54.0,20.0,40.0,391.0,5602.0,204.0,518.0,TRIPURA
2002,76208.0,2188.0,54.0,7.0,14.0,326.0,6150.0,216.0,540.0,TRIPURA
2003,76208.0,2188.0,54.0,0.0,0.0,400.0,7028.0,228.0,552.0,TRIPURA
2004,86370.0,2572.0,54.0,0.0,0.0,78.0,6162.0,320.0,520.0,TRIPURA
2005,83802.0,2146.0,54.0,0.0,0.0,73.0,6712.0,324.0,650.0,TRIPURA
2006,93878.0,2291.0,52.0,0.0,0.0,87.0,7880.0,378.0,784.0,TRIPURA
2007,99212.0,2331.0,18.0,2.0,4.0,83.0,8546.0,314.0,822.0,TRIPURA
2008,103794.0,2465.0,24.0,43.0,86.0,83.0,10672.0,408.0,998.0,TRIPURA
2009,104402.0,2465.0,24.0,91.0,182.0,28.0,10972.0,380.0,830.0,TRIPURA
2010,107820.0,2487.0,28.0,46.0,92.0,25.0,11610.0,476.0,914.0,TRIPURA
2011,107820.0,2487.0,28.0,46.0,92.0,25.0,11606.0,410.0,988.0,TRIPURA
2012,107820.0,2487.0,28.0,46.0,92.0,25.0,12528.0,458.0,1130.0,TRIPURA
2013,107820.0,2487.0,28.0,46.0,92.0,25.0,12420.0,466.0,1066.0,TRIPURA
2014,107820.0,2487.0,28.0,46.0,92.0,25.0,10998.0,478.0,738.0,TRIPURA
2001,653892.0,16205.0,9136.0,256.0,512.0,6528.0,356258.0,3916.0,54022.0,UTTAR PRADESH
2002,653902.0,16205.0,9136.0,96.0,192.0,6988.0,292074.0,2830.0,44838.0,UTTAR PRADESH
2003,654836.0,16205.0,9136.0,61.0,122.0,7077.0,190146.0,1822.0,31502.0,UTTAR PRADESH
2004,656202.0,16189.0,9136.0,135.0,270.0,5655.0,260362.0,2794.0,45048.0,UTTAR PRADESH
2005,648322.0,16246.0,8890.0,115.0,230.0,5213.0,244216.0,2434.0,41390.0,UTTAR PRADESH
2006,647830.0,16246.0,9164.0,172.0,344.0,4509.0,254002.0,2628.0,40894.0,UTTAR PRADESH
2007,650788.0,17132.0,8678.0,427.0,854.0,2149.0,300516.0,3296.0,45632.0,UTTAR PRADESH
2008,622646.0,17125.0,9408.0,347.0,694.0,2267.0,337992.0,3742.0,51892.0,UTTAR PRADESH
2009,1024318.0,22097.0,10038.0,475.0,950.0,1837.0,345768.0,3518.0,58452.0,UTTAR PRADESH
2010,1015698.0,23446.0,9846.0,852.0,1704.0,1562.0,348358.0,3126.0,62306.0,UTTAR PRADESH
2011,1015698.0,23446.0,9846.0,852.0,1704.0,1562.0,390270.0,4084.0,73366.0,UTTAR PRADESH
2012,1015698.0,23446.0,9846.0,852.0,1704.0,1562.0,396186.0,3926.0,74752.0,UTTAR PRADESH
2013,1015698.0,23446.0,9846.0,852.0,1704.0,1562.0,452890.0,6100.0,83898.0,UTTAR PRADESH
2014,1015698.0,23446.0,9846.0,852.0,1704.0,1562.0,480950.0,6934.0,96760.0,UTTAR PRADESH
2001,50594.0,900.0,168.0,57.0,114.0,330.0,16146.0,148.0,2838.0,UTTARAKHAND
2002,49950.0,900.0,168.0,34.0,68.0,631.0,15952.0,178.0,2730.0,UTTARAKHAND
2003,52842.0,900.0,168.0,30.0,60.0,1230.0,15846.0,214.0,2736.0,UTTARAKHAND
2004,51136.0,900.0,168.0,36.0,72.0,437.0,17268.0,230.0,3194.0,UTTARAKHAND
2005,50616.0,900.0,176.0,39.0,78.0,376.0,16066.0,266.0,3260.0,UTTARAKHAND
2006,65466.0,1234.0,74.0,106.0,212.0,450.0,16824.0,294.0,3392.0,UTTARAKHAND
2007,68894.0,1236.0,6.0,129.0,258.0,495.0,19198.0,234.0,3186.0,UTTARAKHAND
2008,70256.0,1308.0,74.0,157.0,314.0,1956.0,17712.0,174.0,3244.0,UTTARAKHAND
2009,74112.0,1334.0,116.0,254.0,508.0,1556.0,17604.0,222.0,3202.0,UTTARAKHAND
2010,79426.0,1334.0,104.0,154.0,308.0,1712.0,18480.0,242.0,4276.0,UTTARAKHAND
2011,79426.0,1334.0,104.0,154.0,308.0,1712.0,17548.0,258.0,4186.0,UTTARAKHAND
2012,79426.0,1334.0,104.0,154.0,308.0,1712.0,17764.0,296.0,3826.0,UTTARAKHAND
2013,79426.0,1334.0,104.0,154.0,308.0,1712.0,19092.0,456.0,3192.0,UTTARAKHAND
2014,79426.0,1334.0,104.0,154.0,308.0,1712.0,18312.0,540.0,3474.0,UTTARAKHAND
2001,354442.0,17727.0,924.0,27.0,54.0,6194.0,123126.0,1418.0,28490.0,WEST BENGAL
2002,352110.0,17606.0,924.0,17.0,34.0,9422.0,117924.0,1518.0,24898.0,WEST BENGAL
2003,354794.0,17582.0,924.0,123.0,246.0,6950.0,122348.0,2004.0,25226.0,WEST BENGAL
2004,353800.0,18658.0,924.0,93.0,186.0,8632.0,138700.0,2950.0,28930.0,WEST BENGAL
2005,353356.0,22516.0,2112.0,138.0,276.0,9102.0,132812.0,3372.0,24248.0,WEST BENGAL
2006,355060.0,22709.0,3262.0,124.0,248.0,9466.0,136104.0,3462.0,25064.0,WEST BENGAL
2007,378878.0,27946.0,2276.0,145.0,290.0,7710.0,162204.0,4212.0,27494.0,WEST BENGAL
2008,359364.0,27093.0,2770.0,707.0,1414.0,12711.0,210838.0,4526.0,34668.0,WEST BENGAL
2009,375106.0,28085.0,3424.0,195.0,390.0,7872.0,226072.0,4672.0,34266.0,WEST BENGAL
2010,388714.0,28637.0,5976.0,337.0,674.0,381.0,259232.0,4622.0,38778.0,WEST BENGAL
2011,388714.0,28637.0,5976.0,337.0,674.0,381.0,286394.0,4726.0,42892.0,WEST BENGAL
2012,388714.0,28637.0,5976.0,337.0,674.0,381.0,322854.0,4092.0,45982.0,WEST BENGAL
2013,388714.0,28637.0,5976.0,337.0,674.0,381.0,339070.0,3370.0,45808.0,WEST BENGAL
2014,388714.0,28637.0,5976.0,337.0,674.0,381.0,386096.0,6818.0,45830.0,WEST BENGAL
